symbol,company_name,sector,market_cap,headquarters,exchange,isin
SUPREMEIND,Supreme Industries,Capital Goods,,India,NSE,INE195A01028
SUZLON,Suzlon Energy,Capital Goods,,India,NSE,INE040H01021
SWANCORP,Swan Corp,Chemicals,,India,NSE,INE665A01038
SWIGGY,Swiggy,Consumer Services,,India,NSE,INE00H001014
SYNGENE,Syngene International,Healthcare,,India,NSE,INE398R01022
SYRMA,Syrma SGS Technology,Capital Goods,,India,NSE,INE0DYJ01015
TARIL,Transformers And Rectifiers (India),Capital Goods,,India,NSE,INE763I01026
TATACHEM,Tata Chemicals,Chemicals,,India,NSE,INE092A01019
TATACOMM,Tata Communications,Telecommunication,,India,NSE,INE151A01013
TATACONSUM,Tata Consumer Products,Fast Moving Consumer Goods,,India,NSE,INE192A01025
TATAELXSI,Tata Elxsi,Information Technology,,India,NSE,INE670A01012
TATAINVEST,Tata Investment Corporation,Financial Services,,India,NSE,INE672A01026
TATAMOTORS,Tata Motors,Automobile and Auto Components,,India,NSE,INE155A01022
TATAPOWER,Tata Power Co.,Power,,India,NSE,INE245A01021
TATASTEEL,Tata Steel,Metals & Mining,,India,NSE,INE081A01012
TATATECH,Tata Technologies,Information Technology,,India,NSE,INE142M01025
TBOTEK,TBO Tek,Consumer Services,,India,NSE,INE673O01025
TCS,Tata Consultancy Services,Information Technology,,India,NSE,INE467B01029
TECHM,Tech Mahindra,Information Technology,,India,NSE,INE669C01036
TECHNOE,Techno Electric & Engineering Company,Construction,,India,NSE,INE285K01026
TEJASNET,Tejas Networks,Telecommunication,,India,NSE,INE010J01012
THELEELA,Schloss Bangalore,Consumer Services,,India,NSE,INE0AQ201015
THERMAX,Thermax,Capital Goods,,India,NSE,INE152A01029
TIINDIA,Tube Investments of India,Automobile and Auto Components,,India,NSE,INE974X01010
TIMKEN,Timken India,Capital Goods,,India,NSE,INE325A01013
TITAGARH,Titagarh Rail Systems,Capital Goods,,India,NSE,INE615H01020
TITAN,Titan Company,Consumer Durables,,India,NSE,INE280A01028
TORNTPHARM,Torrent Pharmaceuticals,Healthcare,,India,NSE,INE685A01028
TORNTPOWER,Torrent Power,Power,,India,NSE,INE813H01021
TRENT,Trent,Consumer Services,,India,NSE,INE849A01020
TRIDENT,Trident,Textiles,,India,NSE,INE064C01022
TRITURBINE,Triveni Turbine,Capital Goods,,India,NSE,INE152M01016
TRIVENI,Triveni Engineering & Industries,Fast Moving Consumer Goods,,India,NSE,INE256C01024
TTML,Tata Teleservices (Maharashtra),Telecommunication,,India,NSE,INE517B01013
TVSMOTOR,TVS Motor Company,Automobile and Auto Components,,India,NSE,INE494B01023
UBL,United Breweries,Fast Moving Consumer Goods,,India,NSE,INE686F01025
UCOBANK,UCO Bank,Financial Services,,India,NSE,INE691A01018
ULTRACEMCO,UltraTech Cement,Construction Materials,,India,NSE,INE481G01011
UNIONBANK,Union Bank of India,Financial Services,,India,NSE,INE692A01016
UNITDSPR,United Spirits,Fast Moving Consumer Goods,,India,NSE,INE854D01024
UNOMINDA,UNO Minda,Automobile and Auto Components,,India,NSE,INE405E01023
UPL,UPL,Chemicals,,India,NSE,INE628A01036
USHAMART,Usha Martin,Capital Goods,,India,NSE,INE228A01035
UTIAMC,UTI Asset Management Company,Financial Services,,India,NSE,INE094J01016
VBL,Varun Beverages,Fast Moving Consumer Goods,,India,NSE,INE200M01039
VEDL,Vedanta,Metals & Mining,,India,NSE,INE205A01025
VENTIVE,Ventive Hospitality,Consumer Services,,India,NSE,INE781S01027
VGUARD,V-Guard Industries,Consumer Durables,,India,NSE,INE951I01027
VIJAYA,Vijaya Diagnostic Centre,Healthcare,,India,NSE,INE043W01024
VMM,Vishal Mega Mart,Consumer Services,,India,NSE,INE01EA01019
VOLTAS,Voltas,Consumer Durables,,India,NSE,INE226A01021
VTL,Vardhman Textiles,Textiles,,India,NSE,INE825A01020
WAAREEENER,Waaree Energies,Capital Goods,,India,NSE,INE377N01017
WELCORP,Welspun Corp,Capital Goods,,India,NSE,INE191B01025
WELSPUNLIV,Welspun Living,Textiles,,India,NSE,INE192B01031
WHIRLPOOL,Whirlpool of India,Consumer Durables,,India,NSE,INE716A01013
WIPRO,Wipro,Information Technology,,India,NSE,INE075A01022
WOCKPHARMA,Wockhardt,Healthcare,,India,NSE,INE049B01025
YESBANK,Yes Bank,Financial Services,,India,NSE,INE528G01035
ZEEL,Zee Entertainment Enterprises,Media Entertainment & Publication,,India,NSE,INE256A01028
ZENSARTECH,Zensar Technolgies,Information Technology,,India,NSE,INE520A01027
ZENTEC,Zen Technologies,Capital Goods,,India,NSE,INE251B01027
ZFCVINDIA,ZF Commercial Vehicle Control Systems India,Automobile and Auto Components,,India,NSE,INE342J01019
ZYDUSLIFE,Zydus Lifesciences,Healthcare,,India,NSE,INE010B01027
