date,open,high,low,close,volume,adjusted_close,currency
2022-01-21,126.08671645643578,126.78356588815414,125.01055901020683,126.33370208740234,658000,126.33370208740234,USD
2022-01-24,126.457166058855,127.93026340029748,122.4524598475945,125.27516174316406,881900,125.27516174316406,USD
2022-01-25,124.88707883120873,125.03703344663222,122.18786883416816,122.96410369873048,1121800,122.96410369873048,USD
2022-01-26,122.10842485524552,123.79322981795453,120.53829656886133,121.18223571777344,919200,121.18223571777344,USD
2022-01-27,121.83501534027153,124.04908346299112,121.43807509244104,122.60244750976562,599500,122.60244750976562,USD
2022-01-28,122.17018270151574,124.0490497461968,121.11167117510412,123.95201873779295,599900,123.95201873779295,USD
2022-01-31,123.08757245540244,124.87823830046966,122.61124691483852,124.00495910644533,1712100,124.00495910644533,USD
2022-02-01,124.0314490987519,124.30489655087167,120.60891424321876,122.17022705078124,875700,122.17022705078124,USD
2022-02-02,121.81737404083496,124.13727567438762,121.81737404083496,123.12287139892578,806000,123.12287139892578,USD
2022-02-03,123.66094435330989,124.9311637603592,122.68181801535154,123.82854461669922,514500,123.82854461669922,USD
2022-02-04,123.0434904248404,123.22872291874457,119.92086521623868,120.73239135742188,587400,120.73239135742188,USD
2022-02-07,121.14696647669064,121.60565980597086,119.8326530808294,120.93527221679688,493600,120.93527221679688,USD
2022-02-08,121.023474042403,121.60566017830588,119.85028566297676,120.3971939086914,659000,120.3971939086914,USD
2022-02-09,120.26489593148128,121.09406784601538,120.17669445826618,120.45014190673828,527700,120.45014190673828,USD
2022-02-10,120.21909648410926,121.0543236951204,118.39759235171309,118.69969177246094,624900,118.69969177246094,USD
2022-02-11,118.94847170877873,121.95173181069188,118.93959121757844,121.44525909423828,661400,121.44525909423828,USD
2022-02-14,121.516353099234,122.84027852260095,119.47272820891313,122.1116714477539,963400,122.1116714477539,USD
2022-02-15,122.06724875411732,122.71587713449163,120.30793528044136,120.92102813720705,621200,120.92102813720705,USD
2022-02-16,120.8322093160492,122.15612140227908,118.95739480683288,120.59230041503906,954700,120.59230041503906,USD
2022-02-17,120.59228637203732,123.5955468576026,119.88145380315753,122.91136932373048,1082300,122.91136932373048,USD
2022-02-18,122.45821573273916,123.91541634503254,121.80957374971608,123.497802734375,604100,123.497802734375,USD
2022-02-22,123.93318912409444,124.3863518619383,121.8451344300844,123.18682098388672,745200,123.18682098388672,USD
2022-02-23,123.90651982470678,124.25304881834336,121.32976716002484,121.6407470703125,797500,121.6407470703125,USD
2022-02-24,120.76111911771144,121.27647242741055,116.1407274323459,118.85964965820312,1025000,118.85964965820312,USD
2022-02-25,119.47274036555868,122.69812178922255,119.47274036555868,121.9695281982422,893800,121.9695281982422,USD
2022-02-28,120.1035917742672,120.89438947214155,118.55753190693808,119.73040771484376,1245800,119.73040771484376,USD
2022-03-01,115.95411446447322,117.1625257015955,111.12935678686036,112.24002838134766,1865300,112.24002838134766,USD
2022-03-02,111.1204709232395,116.39838457636428,110.96942121143664,116.13182067871094,1692900,116.13182067871094,USD
2022-03-03,115.42989883265784,120.07694571670888,115.37658875704044,118.54866027832033,1108400,118.54866027832033,USD
2022-03-04,116.94039076378355,119.3660937170648,116.43391801153652,118.86851501464844,1451400,118.86851501464844,USD
2022-03-07,118.42424485350227,122.20940869783506,117.331347820632,120.68113708496094,1076600,120.68113708496094,USD
2022-03-08,120.55675225647438,121.03657006219974,117.02927112507552,117.18920135498048,1225000,117.18920135498048,USD
2022-03-09,118.65527024876955,119.34834184634416,114.79902145259295,114.92341613769533,876300,114.92341613769533,USD
2022-03-10,114.49692443316091,115.56316655059167,113.67058441950138,114.3103256225586,730100,114.3103256225586,USD
2022-03-11,114.3014364888813,116.2117862399422,114.3014364888813,114.47914123535156,869400,114.47914123535156,USD
2022-03-14,114.81679596948396,116.31842624088024,113.741659824341,114.55911254882812,877000,114.55911254882812,USD
2022-03-15,114.71905415754966,115.05670267838784,113.0486064330408,114.88787841796876,994600,114.88787841796876,USD
2022-03-16,114.51469655436068,114.94119068071102,113.02194677512864,114.92341613769533,776200,114.92341613769533,USD
2022-03-17,115.34100984180527,116.04296181059578,114.03485909491808,115.13665008544922,551900,115.13665008544922,USD
2022-03-18,115.26107181621866,115.26107181621866,112.85313629233713,113.79499053955078,1423800,113.79499053955078,USD
2022-03-21,114.29256239246952,115.9807779154114,114.29256239246952,115.66090393066406,792900,115.66090393066406,USD
2022-03-22,115.9807727467362,116.30064671722836,114.39917743652585,115.7764129638672,737200,115.7764129638672,USD
2022-03-23,116.56720824886156,117.97109878203229,115.6520159326178,115.6697769165039,826100,115.6697769165039,USD
2022-03-24,115.70533177787055,117.23361706457166,115.70533177787055,116.7449188232422,503000,116.7449188232422,USD
2022-03-25,116.9226401449091,119.3483571525034,116.46949092492171,118.78857421875,1060500,118.78857421875,USD
2022-03-28,118.72635794750916,119.38388047613572,117.81116554947737,119.0106964111328,606500,119.0106964111328,USD
2022-03-29,119.49049461624998,120.48566563091832,118.90407029100304,120.33460235595705,710800,120.33460235595705,USD
2022-03-30,119.64154340492188,119.86367773248988,118.1132581466138,119.84591674804688,715200,119.84591674804688,USD
2022-03-31,119.94366468573224,120.96547723997756,118.84187346395125,120.3168487548828,666000,120.3168487548828,USD
2022-04-01,120.6633558503271,122.25383149097948,119.71261452762288,122.18274688720705,739300,122.18274688720705,USD
2022-04-04,121.47195409946536,121.49860913686446,118.1221643002618,119.63267517089844,711000,119.63267517089844,USD
2022-04-05,119.28612530935402,122.43154119556564,119.28612530935402,122.41378021240234,1134000,122.41378021240234,USD
2022-04-06,122.769210046202,124.06648060637424,121.0632198774582,121.92510223388672,1061700,121.92510223388672,USD
2022-04-07,121.90731308579058,122.59149059313924,120.5389716290963,122.03170776367188,725200,122.03170776367188,USD
2022-04-08,122.77806955348292,123.87098012256426,121.84511629607536,123.32897186279295,582100,123.32897186279295,USD
2022-04-11,124.08421981647687,124.89279195667103,122.8313926154534,123.88874053955078,583400,123.88874053955078,USD
2022-04-12,123.50667578844735,124.39521302433548,122.45820835794048,123.87097930908205,593600,123.87097930908205,USD
2022-04-13,123.8710159375429,124.510764021195,122.52931563749178,123.57779693603516,442900,123.57779693603516,USD
2022-04-14,124.07535191614828,125.06162889236202,123.40006842787724,124.11978149414062,456000,124.11978149414062,USD
2022-04-18,124.27972128722848,124.71510949231576,123.14239450455626,123.4089584350586,409600,123.4089584350586,USD
